feature,chrome,firefox,safari,interop
counters,81.7,93.3,82.9,81.7
display-table,95.9,89.6,81.7,81.7
individual-transforms,98.6,98.6,81.4,81.4
canvas-2d,85.4,83.4,81.3,81.3
link,81.0,97.9,94.4,81.0
absolute-positioning,100.0,93.0,80.8,80.8
window,84.3,93.0,80.6,80.6
background-size,84.7,93.9,80.5,80.5
autofocus,82.4,86.3,80.4,80.4
datalist,100.0,80.0,80.0,80.0
dirname,100.0,80.0,80.0,80.0
download,100.0,100.0,80.0,80.0
hyphens,92.5,95.0,80.0,80.0
input-radio,100.0,100.0,80.0,80.0
outline,100.0,94.3,80.0,80.0
placeholder,80.0,100.0,80.0,80.0
png,100.0,97.1,80.0,80.0
speech-synthesis,80.0,83.3,90.0,80.0
column-span,94.8,93.3,79.7,79.7
text-align-last,79.7,79.7,99.1,79.7
vertical-align,82.1,93.8,79.6,79.6
cookie-store,94.4,99.4,79.3,79.3
background-blend-mode,81.2,97.9,79.2,79.2
lang,78.9,94.4,90.0,78.9
parse-html-unsafe,83.1,78.9,83.1,78.9
spellcheck,100.0,78.6,100.0,78.6
background-clip,82.4,78.4,90.2,78.4
csp,88.8,79.3,78.4,78.4
dynamic-range,78.3,100.0,78.3,78.3
gamepad,78.3,92.2,78.3,78.3
alt-text-generated-content,91.6,83.2,77.9,77.9
preserves-pitch,100.0,100.0,77.8,77.8
related-apps,100.0,77.8,77.8,77.8
text-orientation,100.0,100.0,77.8,77.8
web-cryptography,77.8,83.8,82.0,77.8
compression-streams,77.6,100.0,93.6,77.6
first-line,97.0,83.6,77.6,77.6
popover,99.6,99.1,77.6,77.6
audio,100.0,77.5,80.0,77.5
contain-size,100.0,77.4,97.5,77.4
input-checkbox,77.4,80.6,100.0,77.4
svg,77.7,91.1,76.9,76.9
multi-column,99.1,86.6,76.8,76.8
loading-lazy,87.4,89.3,76.7,76.7
wasm-exception-handling,78.1,76.6,89.8,76.6
prefers-reduced-transparency,100.0,76.5,76.5,76.5
resize,100.0,76.5,88.2,76.5
hashchange,100.0,100.0,76.2,76.2
blocking-render,100.0,75.7,90.3,75.7
focus-within,86.5,91.9,75.7,75.7
link-rel-preconnect,100.0,100.0,75.0,75.0
messageerror,100.0,75.0,75.0,75.0
origin-private-file-system,100.0,75.0,83.3,75.0
print,75.0,75.0,75.0,75.0
rect-xywh,75.0,100.0,100.0,75.0
websockets,92.6,75.1,75.0,75.0
animations-css,97.5,74.9,98.4,74.9
media-capture,89.3,74.9,76.1,74.9
wasm-memory64,78.2,78.2,74.9,74.9
first-letter,93.3,89.3,74.7,74.7
offline-audio-context,74.6,74.6,74.6,74.6
media-source,78.4,74.4,88.1,74.4
min-max-content,99.8,75.4,74.2,74.2
scroll-to-text-fragment,74.2,96.9,84.0,74.2
geolocation,96.8,83.5,74.0,74.0
text-align,74.0,86.0,80.0,74.0
border-radius,73.9,74.3,73.9,73.9
overflow-clip,95.7,91.3,73.9,73.9
text-overflow,74.4,93.8,73.5,73.5
clip-path-boxes,100.0,80.0,73.3,73.3
inverted-colors,73.3,73.3,100.0,73.3
relative-positioning,98.9,96.7,73.3,73.3
shapes,77.0,73.0,100.0,73.0
draganddrop,95.5,74.8,72.9,72.9
mathml,97.2,76.3,72.9,72.9
permissions,95.1,91.3,72.8,72.8
align-content-block,94.1,99.5,72.7,72.7
layout-direction-override,98.9,72.4,83.9,72.4
quotes,90.7,90.7,72.1,72.1
scrollend,98.4,72.1,88.5,72.1
img,83.4,86.1,71.9,71.9
offscreen-canvas,77.9,74.5,71.8,71.8
image-rendering,71.4,85.7,71.4,71.4
linear-easing,71.4,71.4,97.6,71.4
partitioned-cookies,100.0,100.0,71.4,71.4
revert-value,100.0,71.4,100.0,71.4
webauthn,99.0,92.4,71.3,71.3
background-attachment,94.2,84.6,71.2,71.2
display-animation,100.0,71.0,100.0,71.0
user-activation,84.4,75.6,70.7,70.7
wasm-threads,82.4,70.6,82.4,70.6
video,94.4,70.4,74.6,70.4
fetch-metadata,91.8,93.5,69.7,69.7
overscroll-behavior,73.9,77.2,69.6,69.6
smil-svg-animations,91.3,93.5,69.6,69.6
system-color,96.8,90.9,69.5,69.5
ruby-align,84.6,100.0,69.2,69.2
referencetarget,68.9,72.3,72.3,68.9
font-palette-animation,100.0,68.6,68.6,68.6
text-wrap-balance,77.1,85.7,68.6,68.6
fullscreen,88.3,85.1,68.5,68.5
media-session,92.3,68.5,80.8,68.5
style,76.7,68.3,68.3,68.3
modulepreload,85.1,75.5,68.1,68.1
source,67.6,82.4,73.5,67.6
white-space-collapse,67.3,89.1,67.3,67.3
shape-outside,67.2,72.6,90.6,67.2
color,100.0,100.0,66.7,66.7
figure,91.7,66.7,100.0,66.7
open-pseudo,100.0,77.8,66.7,66.7
rlh,100.0,100.0,66.7,66.7
selectors,66.9,99.1,66.7,66.7
scroll-elements,88.0,99.5,66.2,66.2
contain-style,97.9,95.7,66.0,66.0
wasm-garbage-collection,65.9,65.9,99.7,65.9
encrypted-media-extensions,96.9,79.1,65.8,65.8
text-decoration,73.0,96.2,65.5,65.5
webcodecs,91.4,85.9,65.5,65.5
background-image,70.5,74.3,65.1,65.1
composed-ranges,97.3,67.6,64.9,64.9
conic-gradients,94.1,88.2,64.7,64.7
background-clip-text,85.7,64.3,64.3,64.3
reporting,86.6,73.1,64.2,64.2
html-media-capture,63.6,63.6,63.6,63.6
keyboard-events,80.6,93.2,63.6,63.6
image-maps,98.9,63.4,86.9,63.4
column-fill,99.6,70.9,63.0,63.0
xml-serializer,87.0,63.0,69.6,63.0
table-discouraged,62.2,66.2,67.6,62.2
fieldset,72.9,96.8,62.0,62.0
ruby-position,61.9,95.2,66.7,61.9
badging,78.2,61.8,61.8,61.8
wheel-events,73.5,61.8,76.5,61.8
link-rel-preload,95.8,66.2,61.7,61.7
barprop,100.0,60.0,100.0,60.0
button,67.5,95.0,60.0,60.0
hyphenate-character,80.0,100.0,60.0,60.0
iframe-srcdoc,86.7,70.0,60.0,60.0
savedata,100.0,60.0,60.0,60.0
scroll-into-view-container,100.0,60.0,60.0,60.0
